,precision,recall,f1-score,support
High,0.2629310344827586,0.16503212715590126,0.20278412632453774,2957.0
Low,0.2674043337943753,0.2212051868802441,0.2421206428720518,2622.0
Medium,0.2834728033472803,0.1950341849586182,0.23108079300788742,2779.0
Very High,0.5217574989438107,0.30952380952380953,0.3885480572597137,3990.0
Very Low,0.5830141426045964,0.830360889634914,0.6850441405573826,9532.0
accuracy,0.49177330895795246,0.49177330895795246,0.49177330895795246,0.49177330895795246
macro avg,0.38371596263456426,0.3442312396306974,0.3499155520043146,21880.0
weighted avg,0.45271916731121026,0.49177330895795246,0.4550637114799052,21880.0
