,precision,recall,f1-score,support
High,0.23806970509383377,0.16017316017316016,0.19150312702178132,2772.0
Low,0.23954908407703146,0.20531400966183574,0.2211142423585519,2484.0
Medium,0.26591549295774647,0.1858267716535433,0.21877172653534183,2540.0
Very High,0.521190261496844,0.27602674307545366,0.36091164533250075,4188.0
Very Low,0.5780558522813979,0.8317049072346031,0.6820616700427639,9109.0
accuracy,0.4815815673446167,0.4815815673446167,0.4815815673446167,0.4815815673446167
macro avg,0.36855607918137073,0.33180911835971916,0.33487248225818794,21093.0
weighted avg,0.44463329412886576,0.4815815673446167,0.4437572822545317,21093.0
