,precision,recall,f1-score,support
High,0.27533960292580983,0.1723912332351979,0.21202977268155299,3057.0
Low,0.27854671280276816,0.23299565846599132,0.2537431048069346,2764.0
Medium,0.30265748031496065,0.2133194588969823,0.25025432349949134,2883.0
Very High,0.48433919022154315,0.3458810692853246,0.40356460852959897,3666.0
Very Low,0.6074974070232627,0.819672131147541,0.6978129520891839,10004.0
accuracy,0.5029945472423348,0.5029945472423348,0.5029945472423348,0.5029945472423348
macro avg,0.38967607865766885,0.35685191020620743,0.36348095232135236,22374.0
weighted avg,0.46201704332224813,0.5029945472423348,0.4706978099129621,22374.0
