,precision,recall,f1-score,support
High,0.23766094420600858,0.15981240981240982,0.1911130284728214,2772.0
Low,0.24071462153267512,0.20611916264090177,0.22207764042507047,2484.0
Medium,0.26550169109357385,0.18543307086614172,0.2183588317107093,2540.0
Very High,0.5216606498194946,0.27602674307545366,0.3610243597751405,4188.0
Very Low,0.5779438682123246,0.8319244703040949,0.6820575131632239,9109.0
accuracy,0.4816763855307448,0.4816763855307448,0.4816763855307448,0.4816763855307448
macro avg,0.36869635497281533,0.33186317133980037,0.3349262747093931,21093.0
weighted avg,0.44471203951993576,0.4816763855307448,0.4437903338752113,21093.0
