,precision,recall,f1-score,support
High,0.2629310344827586,0.16503212715590126,0.20278412632453774,2957.0
Low,0.2674043337943753,0.2212051868802441,0.2421206428720518,2622.0
Medium,0.2834728033472803,0.1950341849586182,0.23108079300788742,2779.0
Very High,0.5215371621621622,0.30952380952380953,0.38848694558037117,3990.0
Very Low,0.5829834254143647,0.8302559798573227,0.6849872333059247,9532.0
accuracy,0.49172760511882996,0.49172760511882996,0.49172760511882996,0.49172760511882996
macro avg,0.3836657518401882,0.34421025767517915,0.3498919482181545,21880.0
weighted avg,0.4526656051532546,0.49172760511882996,0.45502777566996583,21880.0
