,precision,recall,f1-score,support
High,0.24010554089709762,0.15853658536585366,0.19097586568730326,2870.0
Low,0.23907825252040327,0.20468557336621454,0.22054915854738708,2433.0
Medium,0.26795580110497236,0.18399089529590287,0.21817363922627078,2636.0
Very High,0.5353260869565217,0.27241299838672506,0.36108141133343513,4339.0
Very Low,0.5686509123541729,0.8365236523652365,0.677054581070252,9090.0
accuracy,0.4784724822163984,0.4784724822163984,0.4784724822163984,0.4784724822163984
macro avg,0.37022331876663356,0.33122994095598657,0.3335669311729296,21368.0
weighted avg,0.44313592601428764,0.4784724822163984,0.4390191377748582,21368.0
