,precision,recall,f1-score,support
High,0.2834707499018453,0.2081291438454886,0.24002659574468083,3469.0
Low,0.2915330339961514,0.28893833439287986,0.29022988505747127,3146.0
Medium,0.2876557191392978,0.23671947809878843,0.2597137014314928,3219.0
Very High,0.5645292207792207,0.2848658611509318,0.3786579556281475,4883.0
Very Low,0.44710174300770167,0.7441389779052117,0.5585870734949674,5929.0
accuracy,0.3969776227840744,0.3969776227840744,0.3969776227840744,0.3969776227840744
macro avg,0.3748580933648434,0.35255835907866007,0.345443042271352,20646.0
weighted avg,0.39881570936880717,0.3969776227840744,0.37501615034490865,20646.0
