,precision,recall,f1-score,support
High,0.23824451410658307,0.1588850174216028,0.19063545150501673,2870.0
Low,0.23952380952380953,0.20674064940402795,0.22192808294727553,2433.0
Medium,0.26916712630998346,0.18512898330804248,0.21937514048100695,2636.0
Very High,0.5314622000905387,0.27056925558884537,0.3585827733659133,4339.0
Very Low,0.5693069306930693,0.834983498349835,0.6770136473106769,9090.0
accuracy,0.4778640958442531,0.4778640958442531,0.4778640958442531,0.4778640958442531
macro avg,0.3695409161447968,0.3312614808144707,0.3335070191219779,21368.0
weighted avg,0.44258059786612153,0.4778640958442531,0.43875385387620763,21368.0
