,precision,recall,f1-score,support
High,0.2387669801462905,0.1592334494773519,0.1910535117056856,2870.0
Low,0.23832221163012393,0.20550760378133992,0.22070183182520417,2433.0
Medium,0.2693156732891832,0.18512898330804248,0.21942446043165467,2636.0
Very High,0.530741410488246,0.27056925558884537,0.35841856205159517,4339.0
Very Low,0.5693069306930693,0.834983498349835,0.6770136473106769,9090.0
accuracy,0.47777049794084614,0.47777049794084614,0.47777049794084614,0.47777049794084614
macro avg,0.36929064124938255,0.33108455810108295,0.3333224026649633,21368.0
weighted avg,0.44238591673599453,0.47777049794084614,0.4386431209247382,21368.0
